mode,mastered_goals,unlocked_goals,noisy_trap_fraction,goal_entropy,max_goal_share,switching_rate,drive_norm_min,drive_norm_max
prediction_error,0.0,5.0,0.9938800000000001,0.013998840340302035,0.9938800000000001,0.008003201280512203,nan,nan
learning_progress,7.5,9.4,0.017359999999999997,0.6209188978043929,0.17624,0.7051620648259305,nan,nan
stable_stack,7.5,9.4,0.00868,0.6126635253332122,0.19944,0.6105242096838734,0.5827684951496351,1.0988456178460373
